Category,Amount
Under 5k,33195
5k to 10k,23455
10k to 15k,36550
15k to 20k,54025
20k to 25k,47315
25k to 30k,47500
30k to 35k,46945
35k to 40k,47115
40k to 45k,46285
45k to 50k,44650
50k to 60k,84180
60k to 70k,76120
70k to 80k,68190
80k to 90k,60400
90k to 199k,53485
100k to 125k,100810
125k to 150k,68300
150k to 200k,77810
200k and over,96600
